,target
165,2
147,2
51,0
169,2
43,0
39,0
138,2
133,2
173,2
14,0
106,1
104,1
152,2
9,0
148,2
75,1
124,1
149,2
159,2
172,2
24,0
137,2
41,0
36,0
98,1
27,0
76,1
69,1
156,2
28,0
23,0
22,0
68,1
71,1
153,2
60,1
46,0
65,1
6,0
158,2
129,1
31,0
128,1
0,0
48,0
160,2
53,0
162,2
168,2
40,0
105,1
143,2
115,1
49,0
171,2
86,1
123,1
127,1
56,0
132,2
85,1
42,0
83,1
93,1
35,0
176,2
164,2
61,1
33,0
130,2
81,1
57,0
58,0
20,0
8,0
16,0
116,1
151,2
25,0
134,2
141,2
4,0
91,1
155,2
10,0
38,0
12,0
94,1
82,1
161,2
50,0
154,2
140,2
44,0
136,2
15,0
103,1
144,2
32,0
150,2
120,1
174,2
170,2
3,0
122,1
142,2
